LATITUDE_NAD83;LONGITUDE_NAD83;H2_PPM
#38.45797;-112.91418;27.74
#38.46567;-112.92359;2.94
#38.44209;-112.95039;1.18
38.57336;-112.86991;0.98
38.46392;-112.92035;0.8
38.51518;-112.93680;0.39
38.46555;-112.92353;0.35
38.46560;-112.92351;0.33
38.50979;-112.83215;0.29
38.50780;-112.89576;0.25
38.44253;-112.95055;0.21
38.44253;-112.95055;0.2
38.44253;-112.95055;0.16
38.44305;-112.95099;0.144
38.46392;-112.92035;0.135
38.44074;-112.95228;0.11
38.44253;-112.95055;0.11
38.45232;-112.91709;0.1
38.44201;-112.95182;0.092000
38.44253;-112.95055;0.062000
38.44185;-112.95198;0.056000
38.44253;-112.95055;0.055000
38.44201;-112.95182;0.051000
38.44322;-112.95124;0.05
38.56161;-112.81644;0.05
38.41616;-112.89304;0.05
38.47495;-112.88050;0.05
38.46076;-112.88795;0.05
38.43857;-112.86886;0.045000
38.44185;-112.95198;0.032000
38.44201;-112.95182;0.03
38.44223;-112.95089;0.029000
38.44253;-112.95055;0.026000
38.44175;-112.95177;0.024000
38.44175;-112.95177;0.024000
38.44175;-112.95177;0.023000
38.44253;-112.95055;0.022000
38.44253;-112.95055;0.022000
38.44253;-112.95055;0.022000
38.56102;-112.81665;0.02
38.44363;-112.95077;0.02
38.44253;-112.95055;0.012000
38.44253;-112.95055;0.011000
38.52146;-112.92746;0.01
38.44253;-112.95055;0.008200
38.53732;-112.91258;0.005000
38.52381;-112.80268;0.005000
38.47985;-112.83089;0.005000
38.53002;-112.85245;0.005000
38.54931;-112.78500;0.005000
38.55028;-112.83415;0.005000
38.54276;-112.83832;0.005000
38.40757;-112.92967;0.005000
38.48260;-112.87546;0.005000
38.51189;-112.87260;0.005000
38.51189;-112.87260;0.005000
38.53732;-112.92408;0.005000
38.53732;-112.92408;0.005000
38.53727;-112.92410;0.005000
38.53224;-112.86686;0.005000
